saldo_cuenta(millones),duracion_prestamo_meses,historial_crediticio,proposito,monto(millones),saldo_ahorros(millones),antiguedad_empleo,tasa_cuotas,estado_personal,otros_deudores,historial_residencia,propiedad,edad,plan_cuotas,vivienda,creditos_existentes,trabajo,dependientes,telefono,trabajador_extranjero,incumplimiento
< 1M,6,crítico,radio/televisión,1169,desconocido,> 7 años,4,hombre soltero,ninguno,4,bienes raíces,67,ninguno,propia,2,empleado calificado,1,sí,sí,0
1M - 10M,48,pagado,radio/televisión,5951,< 1M,1 - 4 años,2,mujer,ninguno,2,bienes raíces,22,ninguno,propia,1,empleado calificado,1,ninguno,sí,1
desconocido,12,crítico,educación,2096,< 1M,4 - 7 años,2,hombre soltero,ninguno,3,bienes raíces,49,ninguno,propia,1,residente no calificado,2,ninguno,sí,0
< 1M,42,pagado,muebles,7882,< 1M,4 - 7 años,2,hombre soltero,aval,4,sociedad de ahorros y préstamos,45,ninguno,gratuita,1,empleado calificado,2,ninguno,sí,0
< 1M,24,retrasado,coche (nuevo),4870,< 1M,1 - 4 años,3,hombre soltero,ninguno,4,desconocido/nada,53,ninguno,gratuita,2,empleado calificado,2,ninguno,sí,1
desconocido,36,pagado,educación,9055,desconocido,1 - 4 años,2,hombre soltero,ninguno,4,desconocido/nada,35,ninguno,gratuita,1,residente no calificado,2,sí,sí,0
desconocido,24,pagado,muebles,2835,10M - 100M,> 7 años,3,hombre soltero,ninguno,4,sociedad de ahorros y préstamos,53,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
1M - 10M,36,pagado,coche (usado),6948,< 1M,1 - 4 años,2,hombre soltero,ninguno,2,otro,35,ninguno,alquilada,1,autónomo gerente,1,sí,sí,0
desconocido,12,pagado,radio/televisión,3059,> 100M,4 - 7 años,2,hombre divorciado,ninguno,4,bienes raíces,61,ninguno,propia,1,residente no calificado,1,ninguno,sí,0
1M - 10M,30,crítico,coche (nuevo),5234,< 1M,desempleado,4,hombre casado,ninguno,2,otro,28,ninguno,propia,2,autónomo gerente,1,ninguno,sí,1
1M - 10M,12,pagado,coche (nuevo),1295,< 1M,0 - 1 año,3,mujer,ninguno,1,otro,25,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,1
< 1M,48,pagado,negocios,4308,< 1M,0 - 1 año,3,mujer,ninguno,4,sociedad de ahorros y préstamos,24,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,1
1M - 10M,12,pagado,radio/televisión,1567,< 1M,1 - 4 años,1,mujer,ninguno,1,otro,22,ninguno,propia,1,empleado calificado,1,sí,sí,0
< 1M,24,crítico,coche (nuevo),1199,< 1M,> 7 años,4,hombre soltero,ninguno,4,otro,60,ninguno,propia,2,residente no calificado,1,ninguno,sí,1
< 1M,15,pagado,coche (nuevo),1403,< 1M,1 - 4 años,2,mujer,ninguno,4,otro,28,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,0
< 1M,24,pagado,radio/televisión,1282,1M - 10M,1 - 4 años,4,mujer,ninguno,2,otro,32,ninguno,propia,1,residente no calificado,1,ninguno,sí,1
desconocido,24,crítico,radio/televisión,2424,desconocido,> 7 años,4,hombre soltero,ninguno,4,sociedad de ahorros y préstamos,53,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
< 1M,30,totalmente pagado,negocios,8072,desconocido,0 - 1 año,2,hombre soltero,ninguno,3,otro,25,banco,propia,3,empleado calificado,1,ninguno,sí,0
1M - 10M,24,pagado,coche (usado),12579,< 1M,> 7 años,4,mujer,ninguno,2,desconocido/nada,44,ninguno,gratuita,1,autónomo gerente,1,sí,sí,1
desconocido,24,pagado,radio/televisión,3430,10M - 100M,> 7 años,3,hombre soltero,ninguno,2,otro,31,ninguno,propia,1,empleado calificado,2,sí,sí,0
desconocido,9,crítico,coche (nuevo),2134,< 1M,1 - 4 años,4,hombre soltero,ninguno,4,otro,48,ninguno,propia,3,empleado calificado,1,sí,sí,0
< 1M,6,pagado,radio/televisión,2647,10M - 100M,1 - 4 años,2,hombre soltero,ninguno,3,bienes raíces,44,ninguno,alquilada,1,empleado calificado,2,ninguno,sí,0
< 1M,10,crítico,coche (nuevo),2241,< 1M,0 - 1 año,1,hombre soltero,ninguno,3,bienes raíces,48,ninguno,alquilada,2,residente no calificado,2,ninguno,no,0
1M - 10M,12,crítico,coche (usado),1804,1M - 10M,0 - 1 año,3,hombre soltero,ninguno,4,sociedad de ahorros y préstamos,44,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
